surrogate key,date,month,year
366,2021-01-30,1,2021
367,2021-01-30,1,2021
368,2021-01-30,1,2021
369,2021-02-01,2,2021
370,2021-02-01,2,2021
371,2021-02-04,2,2021
372,2021-02-07,2,2021
373,2021-02-07,2,2021
374,2021-02-08,2,2021
375,2021-02-11,2,2021
376,2021-02-11,2,2021
377,2021-02-12,2,2021
378,2021-02-12,2,2021
379,2021-02-12,2,2021
380,2021-02-13,2,2021
381,2021-02-13,2,2021
382,2021-02-18,2,2021
383,2021-02-18,2,2021
384,2021-02-19,2,2021
385,2021-02-19,2,2021
386,2021-02-21,2,2021
387,2021-02-21,2,2021
388,2021-02-23,2,2021
389,2021-02-26,2,2021
390,2021-02-27,2,2021
391,2021-02-28,2,2021
392,2021-02-28,2,2021
393,2021-03-03,3,2021
394,2021-03-03,3,2021
395,2021-03-04,3,2021
396,2021-03-05,3,2021
397,2021-03-07,3,2021
398,2021-03-08,3,2021
399,2021-03-09,3,2021
400,2021-03-10,3,2021
401,2021-03-12,3,2021
402,2021-03-15,3,2021
403,2021-03-18,3,2021
404,2021-03-19,3,2021
405,2021-03-19,3,2021
406,2021-03-19,3,2021
407,2021-03-20,3,2021
408,2021-03-25,3,2021
409,2021-03-27,3,2021
410,2021-03-28,3,2021
411,2021-03-29,3,2021
412,2021-03-29,3,2021
413,2021-03-29,3,2021
414,2021-04-03,4,2021
415,2021-04-04,4,2021
416,2021-04-04,4,2021
417,2021-04-05,4,2021
418,2021-04-05,4,2021
419,2021-04-07,4,2021
420,2021-04-11,4,2021
421,2021-04-11,4,2021
422,2021-04-16,4,2021
423,2021-04-17,4,2021
424,2021-04-17,4,2021
425,2021-04-17,4,2021
426,2021-04-18,4,2021
427,2021-04-20,4,2021
428,2021-04-20,4,2021
429,2021-04-21,4,2021
430,2021-04-22,4,2021
431,2021-04-23,4,2021
432,2021-04-23,4,2021
433,2021-04-25,4,2021
434,2021-04-27,4,2021
435,2021-04-28,4,2021
436,2021-04-28,4,2021
437,2021-04-28,4,2021
438,2021-04-29,4,2021
439,2021-04-29,4,2021
440,2021-04-29,4,2021
441,2021-04-29,4,2021
442,2021-04-30,4,2021
443,2021-04-30,4,2021
444,2021-05-03,5,2021
445,2021-05-05,5,2021
446,2021-05-05,5,2021
447,2021-05-05,5,2021
448,2021-05-06,5,2021
449,2021-05-10,5,2021
450,2021-05-10,5,2021
451,2021-05-10,5,2021
452,2021-05-13,5,2021
453,2021-05-15,5,2021
454,2021-05-16,5,2021
455,2021-05-17,5,2021
456,2021-05-17,5,2021
457,2021-05-18,5,2021
458,2021-05-22,5,2021
459,2021-05-22,5,2021
460,2021-05-25,5,2021
461,2021-05-27,5,2021
462,2021-05-30,5,2021
463,2021-06-02,6,2021
464,2021-06-03,6,2021
465,2021-06-05,6,2021
466,2021-06-06,6,2021
467,2021-06-06,6,2021
468,2021-06-08,6,2021
469,2021-06-08,6,2021
470,2021-06-09,6,2021
471,2021-06-11,6,2021
472,2021-06-11,6,2021
473,2021-06-11,6,2021
474,2021-06-12,6,2021
475,2021-06-12,6,2021
476,2021-06-12,6,2021
477,2021-06-13,6,2021
478,2021-06-14,6,2021
479,2021-06-14,6,2021
480,2021-06-17,6,2021
481,2021-06-18,6,2021
482,2021-06-19,6,2021
483,2021-06-20,6,2021
484,2021-06-20,6,2021
485,2021-06-21,6,2021
486,2021-06-21,6,2021
487,2021-06-21,6,2021
488,2021-06-22,6,2021
489,2021-06-23,6,2021
490,2021-06-24,6,2021
491,2021-06-25,6,2021
492,2021-06-25,6,2021
493,2021-06-25,6,2021
494,2021-06-27,6,2021
495,2021-06-27,6,2021
496,2021-06-30,6,2021
497,2021-07-02,7,2021
498,2021-07-03,7,2021
499,2021-07-03,7,2021
500,2021-07-05,7,2021
501,2021-07-05,7,2021
502,2021-07-07,7,2021
503,2021-07-08,7,2021
504,2021-07-10,7,2021
505,2021-07-10,7,2021
506,2021-07-12,7,2021
507,2021-07-12,7,2021
508,2021-07-13,7,2021
509,2021-07-13,7,2021
510,2021-07-14,7,2021
511,2021-07-15,7,2021
512,2021-07-17,7,2021
513,2021-07-20,7,2021
514,2021-07-20,7,2021
515,2021-07-21,7,2021
516,2021-07-21,7,2021
517,2021-07-22,7,2021
518,2021-07-25,7,2021
519,2021-07-29,7,2021
520,2021-07-29,7,2021
521,2021-07-30,7,2021
522,2021-07-31,7,2021
523,2021-08-01,8,2021
524,2021-08-02,8,2021
525,2021-08-02,8,2021
526,2021-08-06,8,2021
527,2021-08-06,8,2021
528,2021-08-08,8,2021
529,2021-08-09,8,2021
530,2021-08-13,8,2021
531,2021-08-14,8,2021
532,2021-08-16,8,2021
533,2021-08-16,8,2021
534,2021-08-18,8,2021
535,2021-08-19,8,2021
536,2021-08-19,8,2021
537,2021-08-20,8,2021
538,2021-08-20,8,2021
539,2021-08-20,8,2021
540,2021-08-25,8,2021
541,2021-08-27,8,2021
542,2021-08-28,8,2021
543,2021-08-31,8,2021
544,2021-08-31,8,2021
545,2021-08-31,8,2021
546,2021-08-31,8,2021
547,2021-08-31,8,2021
548,2021-09-01,9,2021
549,2021-09-02,9,2021
550,2021-09-02,9,2021
551,2021-09-05,9,2021
552,2021-09-06,9,2021
553,2021-09-06,9,2021
554,2021-09-08,9,2021
555,2021-09-09,9,2021
556,2021-09-12,9,2021
557,2021-09-12,9,2021
558,2021-09-13,9,2021
559,2021-09-13,9,2021
560,2021-09-14,9,2021
561,2021-09-17,9,2021
562,2021-09-17,9,2021
563,2021-09-17,9,2021
564,2021-09-18,9,2021
565,2021-09-18,9,2021
566,2021-09-18,9,2021
567,2021-09-18,9,2021
568,2021-09-19,9,2021
569,2021-09-19,9,2021
570,2021-09-19,9,2021
571,2021-09-21,9,2021
572,2021-09-22,9,2021
573,2021-09-22,9,2021
574,2021-09-23,9,2021
575,2021-09-23,9,2021
576,2021-09-26,9,2021
577,2021-09-27,9,2021
578,2021-09-29,9,2021
579,2021-09-30,9,2021
580,2021-10-01,10,2021
581,2021-10-01,10,2021
582,2021-10-03,10,2021
583,2021-10-03,10,2021
584,2021-10-03,10,2021
585,2021-10-04,10,2021
586,2021-10-05,10,2021
587,2021-10-06,10,2021
588,2021-10-07,10,2021
589,2021-10-09,10,2021
590,2021-10-09,10,2021
591,2021-10-10,10,2021
592,2021-10-11,10,2021
593,2021-10-12,10,2021
594,2021-10-12,10,2021
595,2021-10-13,10,2021
596,2021-10-14,10,2021
597,2021-10-15,10,2021
598,2021-10-15,10,2021
599,2021-10-17,10,2021
600,2021-10-17,10,2021
601,2021-10-18,10,2021
602,2021-10-19,10,2021
603,2021-10-19,10,2021
604,2021-10-20,10,2021
605,2021-10-20,10,2021
606,2021-10-23,10,2021
607,2021-10-24,10,2021
608,2021-10-26,10,2021
609,2021-10-27,10,2021
610,2021-10-29,10,2021
611,2021-10-30,10,2021
612,2021-10-31,10,2021
613,2021-11-01,11,2021
614,2021-11-01,11,2021
